date,tournament,home_team,away_team,home_score,away_score,knockout
2024-06-14,Euro 2024,Germany,Scotland,5,1,FALSE
2024-06-15,Euro 2024,Hungary,Switzerland,1,3,FALSE
2024-06-15,Euro 2024,Spain,Croatia,3,0,FALSE
2024-06-15,Euro 2024,Italy,Albania,2,1,FALSE
2024-06-16,Euro 2024,Slovenia,Denmark,1,1,FALSE
2024-06-16,Euro 2024,Serbia,England,0,1,FALSE
2024-06-16,Euro 2024,Poland,Netherlands,1,2,FALSE
2024-06-17,Euro 2024,Austria,France,0,1,FALSE
2024-06-17,Euro 2024,Romania,Ukraine,3,0,FALSE
2024-06-17,Euro 2024,Belgium,Slovakia,0,1,FALSE
2024-06-18,Euro 2024,Türkiye,Georgia,3,1,FALSE
2024-06-18,Euro 2024,Portugal,Czechia,2,1,FALSE
2024-06-19,Euro 2024,Germany,Hungary,2,0,FALSE
2024-06-19,Euro 2024,Scotland,Switzerland,1,1,FALSE
2024-06-19,Euro 2024,Croatia,Albania,2,2,FALSE
2024-06-20,Euro 2024,Spain,Italy,1,0,FALSE
2024-06-20,Euro 2024,Slovenia,Serbia,1,1,FALSE
2024-06-20,Euro 2024,Denmark,England,1,1,FALSE
2024-06-21,Euro 2024,Poland,Austria,1,3,FALSE
2024-06-21,Euro 2024,Netherlands,France,0,0,FALSE
2024-06-21,Euro 2024,Slovakia,Ukraine,1,2,FALSE
2024-06-22,Euro 2024,Belgium,Romania,2,0,FALSE
2024-06-22,Euro 2024,Georgia,Czechia,1,1,FALSE
2024-06-22,Euro 2024,Türkiye,Portugal,0,3,FALSE
2024-06-23,Euro 2024,Switzerland,Germany,1,1,FALSE
2024-06-23,Euro 2024,Scotland,Hungary,0,1,FALSE
2024-06-24,Euro 2024,Albania,Spain,0,1,FALSE
2024-06-24,Euro 2024,Croatia,Italy,1,1,FALSE
2024-06-25,Euro 2024,England,Slovenia,0,0,FALSE
2024-06-25,Euro 2024,Denmark,Serbia,0,0,FALSE
2024-06-25,Euro 2024,Netherlands,Austria,2,3,FALSE
2024-06-25,Euro 2024,France,Poland,1,1,FALSE
2024-06-26,Euro 2024,Slovakia,Romania,1,1,FALSE
2024-06-26,Euro 2024,Ukraine,Belgium,0,0,FALSE
2024-06-26,Euro 2024,Georgia,Portugal,2,0,FALSE
2024-06-26,Euro 2024,Czechia,Türkiye,1,2,FALSE
2024-06-29,Euro 2024,Switzerland,Italy,2,0,TRUE
2024-06-29,Euro 2024,Germany,Denmark,2,0,TRUE
2024-06-30,Euro 2024,England,Slovakia,2,1,TRUE
2024-06-30,Euro 2024,Spain,Georgia,4,1,TRUE
2024-07-01,Euro 2024,France,Belgium,1,0,TRUE
2024-07-01,Euro 2024,Portugal,Slovenia,0,0,TRUE
2024-07-02,Euro 2024,Romania,Netherlands,0,3,TRUE
2024-07-02,Euro 2024,Austria,Türkiye,1,2,TRUE
2024-07-05,Euro 2024,Spain,Germany,2,1,TRUE
2024-07-05,Euro 2024,Portugal,France,0,0,TRUE
2024-07-06,Euro 2024,England,Switzerland,1,1,TRUE
2024-07-06,Euro 2024,Netherlands,Türkiye,2,1,TRUE
2024-07-09,Euro 2024,Spain,France,2,1,TRUE
2024-07-10,Euro 2024,Netherlands,England,1,2,TRUE
2024-07-14,Euro 2024,Spain,England,2,1,TRUE
2021-06-11,Euro 2020,Türkiye,Italy,0,3,FALSE
2021-06-12,Euro 2020,Wales,Switzerland,1,1,FALSE
2021-06-16,Euro 2020,Türkiye,Wales,0,2,FALSE
2021-06-16,Euro 2020,Italy,Switzerland,3,0,FALSE
2021-06-20,Euro 2020,Switzerland,Türkiye,3,1,FALSE
2021-06-20,Euro 2020,Italy,Wales,1,0,FALSE
2021-06-12,Euro 2020,Denmark,Finland,0,1,FALSE
2021-06-12,Euro 2020,Belgium,Russia,3,0,FALSE
2021-06-16,Euro 2020,Finland,Russia,0,1,FALSE
2021-06-17,Euro 2020,Denmark,Belgium,1,2,FALSE
2021-06-21,Euro 2020,Russia,Denmark,1,4,FALSE
2021-06-21,Euro 2020,Finland,Belgium,0,2,FALSE
2021-06-13,Euro 2020,Austria,North Macedonia,3,1,FALSE
2021-06-13,Euro 2020,Netherlands,Ukraine,3,2,FALSE
2021-06-17,Euro 2020,Ukraine,North Macedonia,2,1,FALSE
2021-06-17,Euro 2020,Netherlands,Austria,2,0,FALSE
2021-06-21,Euro 2020,North Macedonia,Netherlands,0,3,FALSE
2021-06-21,Euro 2020,Ukraine,Austria,0,1,FALSE
2021-06-13,Euro 2020,England,Croatia,1,0,FALSE
2021-06-14,Euro 2020,Scotland,Czechia,0,2,FALSE
2021-06-18,Euro 2020,Croatia,Czechia,1,1,FALSE
2021-06-18,Euro 2020,England,Scotland,0,0,FALSE
2021-06-22,Euro 2020,Croatia,Scotland,3,1,FALSE
2021-06-22,Euro 2020,Czechia,England,0,1,FALSE
2021-06-14,Euro 2020,Poland,Slovakia,1,2,FALSE
2021-06-14,Euro 2020,Spain,Sweden,0,0,FALSE
2021-06-18,Euro 2020,Sweden,Slovakia,1,0,FALSE
2021-06-19,Euro 2020,Spain,Poland,1,1,FALSE
2021-06-23,Euro 2020,Slovakia,Spain,0,5,FALSE
2021-06-23,Euro 2020,Sweden,Poland,3,2,FALSE
2021-06-15,Euro 2020,Hungary,Portugal,0,3,FALSE
2021-06-15,Euro 2020,France,Germany,1,0,FALSE
2021-06-19,Euro 2020,Hungary,France,1,1,FALSE
2021-06-19,Euro 2020,Portugal,Germany,2,4,FALSE
2021-06-23,Euro 2020,Portugal,France,2,2,FALSE
2021-06-23,Euro 2020,Germany,Hungary,2,2,FALSE
2021-06-26,Euro 2020,Wales,Denmark,0,4,TRUE
2021-06-26,Euro 2020,Italy,Austria,0,0,TRUE
2021-06-27,Euro 2020,Netherlands,Czechia,0,2,TRUE
2021-06-27,Euro 2020,Belgium,Portugal,1,0,TRUE
2021-06-28,Euro 2020,Croatia,Spain,3,3,TRUE
2021-06-28,Euro 2020,France,Switzerland,3,3,TRUE
2021-06-29,Euro 2020,England,Germany,2,0,TRUE
2021-06-29,Euro 2020,Sweden,Ukraine,1,1,TRUE
2021-07-02,Euro 2020,Switzerland,Spain,1,1,TRUE
2021-07-02,Euro 2020,Belgium,Italy,1,2,TRUE
2021-07-03,Euro 2020,Czechia,Denmark,1,2,TRUE
2021-07-03,Euro 2020,Ukraine,England,0,4,TRUE
2021-07-06,Euro 2020,Italy,Spain,1,1,TRUE
2021-07-07,Euro 2020,England,Denmark,1,1,TRUE
2021-07-11,Euro 2020,Italy,England,1,1,TRUE
