date,round,group,team1,team2,score1,score2,knockout
2026-06-11,Matchday 1,A,Mexico,South Africa,2,0,FALSE
2026-06-11,Matchday 1,A,South Korea,Czechia,2,1,FALSE
2026-06-18,Matchday 8,A,Czechia,South Africa,,,FALSE
2026-06-18,Matchday 8,A,Mexico,South Korea,,,FALSE
2026-06-24,Matchday 14,A,Czechia,Mexico,,,FALSE
2026-06-24,Matchday 14,A,South Africa,South Korea,,,FALSE
2026-06-12,Matchday 2,B,Canada,Bosnia-Herzegovina,1,1,FALSE
2026-06-13,Matchday 3,B,Qatar,Switzerland,1,1,FALSE
2026-06-18,Matchday 8,B,Switzerland,Bosnia-Herzegovina,,,FALSE
2026-06-18,Matchday 8,B,Canada,Qatar,,,FALSE
2026-06-24,Matchday 14,B,Switzerland,Canada,,,FALSE
2026-06-24,Matchday 14,B,Bosnia-Herzegovina,Qatar,,,FALSE
2026-06-13,Matchday 3,C,Brazil,Morocco,1,1,FALSE
2026-06-13,Matchday 3,C,Haiti,Scotland,0,1,FALSE
2026-06-19,Matchday 9,C,Scotland,Morocco,,,FALSE
2026-06-19,Matchday 9,C,Brazil,Haiti,,,FALSE
2026-06-24,Matchday 14,C,Scotland,Brazil,,,FALSE
2026-06-24,Matchday 14,C,Morocco,Haiti,,,FALSE
2026-06-12,Matchday 2,D,United States,Paraguay,4,1,FALSE
2026-06-13,Matchday 3,D,Australia,Türkiye,2,0,FALSE
2026-06-19,Matchday 9,D,United States,Australia,,,FALSE
2026-06-19,Matchday 9,D,Türkiye,Paraguay,,,FALSE
2026-06-25,Matchday 15,D,Türkiye,United States,,,FALSE
2026-06-25,Matchday 15,D,Paraguay,Australia,,,FALSE
2026-06-14,Matchday 4,E,Germany,Curacao,7,1,FALSE
2026-06-14,Matchday 4,E,Ivory Coast,Ecuador,1,0,FALSE
2026-06-20,Matchday 10,E,Germany,Ivory Coast,,,FALSE
2026-06-20,Matchday 10,E,Ecuador,Curacao,,,FALSE
2026-06-25,Matchday 15,E,Curacao,Ivory Coast,,,FALSE
2026-06-25,Matchday 15,E,Ecuador,Germany,,,FALSE
2026-06-14,Matchday 4,F,Netherlands,Japan,2,2,FALSE
2026-06-14,Matchday 4,F,Sweden,Tunisia,5,1,FALSE
2026-06-20,Matchday 10,F,Netherlands,Sweden,,,FALSE
2026-06-20,Matchday 10,F,Tunisia,Japan,,,FALSE
2026-06-25,Matchday 15,F,Japan,Sweden,,,FALSE
2026-06-25,Matchday 15,F,Tunisia,Netherlands,,,FALSE
2026-06-15,Matchday 5,G,Belgium,Egypt,1,1,FALSE
2026-06-15,Matchday 5,G,Iran,New Zealand,2,2,FALSE
2026-06-21,Matchday 11,G,Belgium,Iran,,,FALSE
2026-06-21,Matchday 11,G,New Zealand,Egypt,,,FALSE
2026-06-26,Matchday 16,G,Egypt,Iran,,,FALSE
2026-06-26,Matchday 16,G,New Zealand,Belgium,,,FALSE
2026-06-15,Matchday 5,H,Spain,Cape Verde,0,0,FALSE
2026-06-15,Matchday 5,H,Saudi Arabia,Uruguay,1,1,FALSE
2026-06-21,Matchday 11,H,Spain,Saudi Arabia,,,FALSE
2026-06-21,Matchday 11,H,Uruguay,Cape Verde,,,FALSE
2026-06-26,Matchday 16,H,Cape Verde,Saudi Arabia,,,FALSE
2026-06-26,Matchday 16,H,Uruguay,Spain,,,FALSE
2026-06-16,Matchday 6,I,France,Senegal,3,1,FALSE
2026-06-16,Matchday 6,I,Iraq,Norway,1,4,FALSE
2026-06-22,Matchday 12,I,France,Iraq,,,FALSE
2026-06-22,Matchday 12,I,Norway,Senegal,,,FALSE
2026-06-26,Matchday 16,I,Norway,France,,,FALSE
2026-06-26,Matchday 16,I,Senegal,Iraq,,,FALSE
2026-06-16,Matchday 6,J,Argentina,Algeria,3,0,FALSE
2026-06-16,Matchday 6,J,Austria,Jordan,3,1,FALSE
2026-06-22,Matchday 12,J,Argentina,Austria,,,FALSE
2026-06-22,Matchday 12,J,Jordan,Algeria,,,FALSE
2026-06-27,Matchday 17,J,Algeria,Austria,,,FALSE
2026-06-27,Matchday 17,J,Jordan,Argentina,,,FALSE
2026-06-17,Matchday 7,K,Portugal,Congo DR,,,FALSE
2026-06-17,Matchday 7,K,Uzbekistan,Colombia,,,FALSE
2026-06-23,Matchday 13,K,Portugal,Uzbekistan,,,FALSE
2026-06-23,Matchday 13,K,Colombia,Congo DR,,,FALSE
2026-06-27,Matchday 17,K,Colombia,Portugal,,,FALSE
2026-06-27,Matchday 17,K,Congo DR,Uzbekistan,,,FALSE
2026-06-17,Matchday 7,L,England,Croatia,,,FALSE
