date,year,home_team,away_team,home_score,away_score,knockout
2010-06-11,2010,South Africa,Mexico,1,1,FALSE
2010-06-11,2010,Uruguay,France,0,0,FALSE
2010-06-16,2010,South Africa,Uruguay,0,3,FALSE
2010-06-17,2010,France,Mexico,0,2,FALSE
2010-06-22,2010,Mexico,Uruguay,0,1,FALSE
2010-06-22,2010,France,South Africa,1,2,FALSE
2010-06-12,2010,South Korea,Greece,2,0,FALSE
2010-06-12,2010,Argentina,Nigeria,1,0,FALSE
2010-06-17,2010,Argentina,South Korea,4,1,FALSE
2010-06-17,2010,Greece,Nigeria,2,1,FALSE
2010-06-22,2010,Nigeria,South Korea,2,2,FALSE
2010-06-22,2010,Greece,Argentina,0,2,FALSE
2010-06-12,2010,England,United States,1,1,FALSE
2010-06-13,2010,Algeria,Slovenia,0,1,FALSE
2010-06-18,2010,Slovenia,United States,2,2,FALSE
2010-06-18,2010,England,Algeria,0,0,FALSE
2010-06-23,2010,United States,Algeria,1,0,FALSE
2010-06-23,2010,Slovenia,England,0,1,FALSE
2010-06-13,2010,Serbia,Ghana,0,1,FALSE
2010-06-13,2010,Germany,Australia,4,0,FALSE
2010-06-18,2010,Germany,Serbia,0,1,FALSE
2010-06-19,2010,Ghana,Australia,1,1,FALSE
2010-06-23,2010,Australia,Serbia,2,1,FALSE
2010-06-23,2010,Ghana,Germany,0,1,FALSE
2010-06-14,2010,Netherlands,Denmark,2,0,FALSE
2010-06-14,2010,Japan,Cameroon,1,0,FALSE
2010-06-19,2010,Netherlands,Japan,1,0,FALSE
2010-06-19,2010,Cameroon,Denmark,1,2,FALSE
2010-06-24,2010,Denmark,Japan,1,3,FALSE
2010-06-24,2010,Cameroon,Netherlands,1,2,FALSE
2010-06-14,2010,Italy,Paraguay,1,1,FALSE
2010-06-15,2010,New Zealand,Slovakia,1,1,FALSE
2010-06-20,2010,Slovakia,Paraguay,0,2,FALSE
2010-06-20,2010,Italy,New Zealand,1,1,FALSE
2010-06-24,2010,Slovakia,Italy,3,2,FALSE
2010-06-24,2010,Paraguay,New Zealand,0,0,FALSE
2010-06-15,2010,Ivory Coast,Portugal,0,0,FALSE
2010-06-15,2010,Brazil,North Korea,2,1,FALSE
2010-06-20,2010,Brazil,Ivory Coast,3,1,FALSE
2010-06-21,2010,Portugal,North Korea,7,0,FALSE
2010-06-25,2010,Portugal,Brazil,0,0,FALSE
2010-06-25,2010,North Korea,Ivory Coast,0,3,FALSE
2010-06-16,2010,Honduras,Chile,0,1,FALSE
2010-06-16,2010,Spain,Switzerland,0,1,FALSE
2010-06-21,2010,Chile,Switzerland,1,0,FALSE
2010-06-21,2010,Spain,Honduras,2,0,FALSE
2010-06-25,2010,Chile,Spain,1,2,FALSE
2010-06-25,2010,Switzerland,Honduras,0,0,FALSE
2010-06-26,2010,Uruguay,South Korea,2,1,TRUE
2010-06-26,2010,United States,Ghana,1,1,TRUE
2010-06-27,2010,Germany,England,4,1,TRUE
2010-06-27,2010,Argentina,Mexico,3,1,TRUE
2010-06-28,2010,Netherlands,Slovakia,2,1,TRUE
2010-06-28,2010,Brazil,Chile,3,0,TRUE
2010-06-29,2010,Paraguay,Japan,0,0,TRUE
2010-06-29,2010,Spain,Portugal,1,0,TRUE
2010-07-02,2010,Netherlands,Brazil,2,1,TRUE
2010-07-02,2010,Uruguay,Ghana,1,1,TRUE
2010-07-03,2010,Argentina,Germany,0,4,TRUE
2010-07-03,2010,Paraguay,Spain,0,1,TRUE
2010-07-06,2010,Uruguay,Netherlands,2,3,TRUE
2010-07-07,2010,Germany,Spain,0,1,TRUE
2010-07-10,2010,Uruguay,Germany,2,3,TRUE
2010-07-11,2010,Netherlands,Spain,0,1,TRUE
2014-06-12,2014,Brazil,Croatia,3,1,FALSE
2014-06-13,2014,Mexico,Cameroon,1,0,FALSE
2014-06-17,2014,Brazil,Mexico,0,0,FALSE
2014-06-18,2014,Cameroon,Croatia,0,4,FALSE
2014-06-23,2014,Cameroon,Brazil,1,4,FALSE
2014-06-23,2014,Croatia,Mexico,1,3,FALSE
2014-06-13,2014,Spain,Netherlands,1,5,FALSE
2014-06-13,2014,Chile,Australia,3,1,FALSE
2014-06-18,2014,Australia,Netherlands,2,3,FALSE
2014-06-18,2014,Spain,Chile,0,2,FALSE
2014-06-23,2014,Australia,Spain,0,3,FALSE
2014-06-23,2014,Netherlands,Chile,2,0,FALSE
2014-06-14,2014,Colombia,Greece,3,0,FALSE
2014-06-14,2014,Ivory Coast,Japan,2,1,FALSE
2014-06-19,2014,Colombia,Ivory Coast,2,1,FALSE
2014-06-19,2014,Japan,Greece,0,0,FALSE
2014-06-24,2014,Japan,Colombia,1,4,FALSE
2014-06-24,2014,Greece,Ivory Coast,2,1,FALSE
2014-06-14,2014,Uruguay,Costa Rica,1,3,FALSE
2014-06-14,2014,England,Italy,1,2,FALSE
2014-06-19,2014,Uruguay,England,2,1,FALSE
2014-06-20,2014,Italy,Costa Rica,0,1,FALSE
2014-06-24,2014,Italy,Uruguay,0,1,FALSE
2014-06-24,2014,Costa Rica,England,0,0,FALSE
2014-06-15,2014,Switzerland,Ecuador,2,1,FALSE
2014-06-15,2014,France,Honduras,3,0,FALSE
2014-06-20,2014,Switzerland,France,2,5,FALSE
2014-06-20,2014,Honduras,Ecuador,1,2,FALSE
2014-06-25,2014,Honduras,Switzerland,0,3,FALSE
