matchup,model,p_win,p_draw,p_loss
Spain vs Morocco,poisson,62.6,22.3,15.2
Spain vs Morocco,negbin,62.4,22.3,15.3
Spain vs Morocco,elo,61.1,25.6,13.3
Spain vs Morocco,colley,57.0,26.2,16.8
Spain vs Morocco,pagerank,69.3,23.9,6.8
Spain vs Morocco,logit,61.2,24.0,14.7
Spain vs Morocco,knn,46.7,26.7,26.7
Spain vs Morocco,rf,39.9,38.6,21.5
Spain vs Morocco,nn,56.0,19.6,24.4
Spain vs Morocco,xgb,24.8,64.2,11.0
Argentina vs Croatia,poisson,53.5,25.3,21.2
Argentina vs Croatia,negbin,53.4,25.3,21.3
Argentina vs Croatia,elo,53.7,26.7,19.6
Argentina vs Croatia,colley,50.2,27.2,22.7
Argentina vs Croatia,pagerank,42.5,28.1,29.4
Argentina vs Croatia,logit,52.0,26.5,21.5
Argentina vs Croatia,knn,46.7,20.0,33.3
Argentina vs Croatia,rf,48.0,27.1,24.9
Argentina vs Croatia,nn,50.4,19.6,30.0
Argentina vs Croatia,xgb,59.2,14.1,26.7
Netherlands vs Germany,poisson,42.4,27.5,30.1
Netherlands vs Germany,negbin,42.3,27.5,30.2
Netherlands vs Germany,elo,42.6,28.1,29.3
Netherlands vs Germany,colley,47.6,27.5,24.9
Netherlands vs Germany,pagerank,41.6,28.2,30.2
Netherlands vs Germany,logit,39.4,27.9,32.7
Netherlands vs Germany,knn,43.3,30.0,26.7
Netherlands vs Germany,rf,27.3,28.1,44.5
Netherlands vs Germany,nn,35.4,26.2,38.4
Netherlands vs Germany,xgb,13.9,7.4,78.7
