Spiel,Spiel,Poisson,Poisson,Neg.Binom,Neg.Binom,Colley,Colley,PageRank,PageRank
Gr.,Begegnung,Erg.,P%,Erg.,P%,Erg.,P%,Erg.,P%
A,Mexico – South Africa,1:0,13.5,1:0,13.5,1:1,13.1,1:0,12.9
A,Mexico – South Korea,1:1,13.1,1:1,13.0,1:0,13.3,1:1,12.9
A,Mexico – Czechia,1:1,13.1,1:1,13.0,1:0,13.2,1:1,12.9
A,South Africa – South Korea,0:1,13.2,0:1,13.2,1:0,13.3,1:1,13.1
A,South Africa – Czechia,0:1,13.4,0:1,13.4,1:0,13.3,1:1,13.1
A,South Korea – Czechia,1:1,13.1,1:1,13.0,1:1,13.1,1:1,13.1
B,Canada – Bosnia-Herzegovina,1:1,12.9,1:1,12.8,0:1,13.0,1:1,13.1
B,Canada – Qatar,1:1,12.7,1:0,12.7,1:1,13.1,1:1,13.1
B,Canada – Switzerland,1:1,12.9,1:1,12.8,0:1,13.5,0:1,13.6
B,Bosnia-Herzegovina – Qatar,1:1,13.1,1:1,13.0,1:0,12.8,1:1,13.1
B,Bosnia-Herzegovina – Switzerland,0:1,13.2,0:1,13.2,0:1,13.5,0:1,13.6
B,Qatar – Switzerland,0:1,13.5,0:1,13.5,0:1,13.6,0:1,13.6
C,Brazil – Morocco,1:0,13.0,1:0,13.0,1:0,13.2,1:0,13.3
C,Brazil – Haiti,2:0,14.6,2:0,14.6,2:0,14.5,2:0,14.7
C,Brazil – Scotland,1:0,13.7,1:0,13.7,2:0,14.1,1:0,13.7
C,Morocco – Haiti,2:0,14.4,2:0,14.4,2:0,14.3,2:0,14.0
C,Morocco – Scotland,1:0,12.9,1:0,12.9,1:0,13.6,1:1,12.8
C,Haiti – Scotland,0:1,13.7,0:1,13.7,0:1,13.4,0:1,13.7
D,United States – Paraguay,1:1,12.8,1:1,12.8,1:1,13.1,1:1,13.0
D,United States – Australia,1:1,12.8,1:1,12.8,1:0,13.2,1:1,13.0
D,United States – Türkiye,1:1,13.1,1:1,13.0,1:0,13.0,1:1,13.1
D,Paraguay – Australia,1:1,13.1,1:1,13.0,1:0,13.0,1:1,13.1
D,Paraguay – Türkiye,0:1,12.9,0:1,12.9,1:0,12.7,1:1,13.1
D,Australia – Türkiye,0:1,12.9,0:1,12.9,1:1,13.1,1:1,13.1
E,Germany – Curacao,2:0,14.7,2:0,14.6,2:0,14.7,3:0,14.8
E,Germany – Ivory Coast,1:0,13.4,1:0,13.4,1:0,13.6,2:0,14.3
E,Germany – Ecuador,1:0,13.0,1:0,13.0,1:0,13.1,2:0,14.0
E,Curacao – Ivory Coast,0:1,13.7,0:1,13.7,0:1,13.6,0:1,13.7
E,Curacao – Ecuador,0:1,13.5,0:1,13.6,0:2,14.0,0:1,13.7
E,Ivory Coast – Ecuador,1:1,13.1,1:1,13.0,1:1,13.0,1:1,13.1
F,Netherlands – Japan,1:0,13.0,1:0,13.0,1:0,13.7,1:0,13.6
F,Netherlands – Sweden,1:0,13.6,1:0,13.6,1:0,12.8,2:0,14.1
F,Netherlands – Tunisia,2:0,13.6,2:0,13.5,1:0,13.5,2:0,14.6
F,Japan – Sweden,1:1,12.8,1:1,12.8,0:1,13.0,1:1,12.9
F,Japan – Tunisia,1:0,13.6,1:0,13.6,1:1,12.9,1:0,13.1
F,Sweden – Tunisia,1:0,12.9,1:0,12.9,1:0,13.6,1:1,13.0
G,Belgium – Egypt,1:0,13.4,1:0,13.4,2:0,14.7,1:0,13.7
G,Belgium – Iran,1:0,13.2,1:0,13.2,1:0,13.7,1:0,13.7
G,Belgium – New Zealand,2:0,14.7,2:0,14.6,1:0,13.3,1:0,13.7
G,Egypt – Iran,1:1,13.1,1:1,13.0,0:1,13.5,1:1,13.1
G,Egypt – New Zealand,1:0,13.7,1:0,13.7,0:1,13.6,1:1,13.1
G,Iran – New Zealand,1:0,13.6,1:0,13.6,0:1,12.8,1:1,13.1
H,Spain – Cape Verde,3:0,14.6,3:0,14.5,2:0,14.5,3:0,14.8
