team,strength,poisson,negbin,elo,colley,pagerank,logit,knn,rf,nn,xgb,market,consensus
Spain,2165,26.615,26.290000000000003,28.035,13.389999999999999,29.425,26.93,14.860000000000001,12.045,10.405000000000001,14.344999999999999,16.8476743730674,20.234
France,2100,14.555000000000001,14.89,14.704999999999998,10.18,21.3,15.354999999999999,12.975,12.095,11.535,12.24,14.8821123628762,13.982999999999999
Argentina,2120,18.15,17.740000000000002,18.765,8.43,3.11,18.005,13.76,12.920000000000002,11.21,15.254999999999999,8.504064207357828,13.734500000000002
Netherlands,2030,5.89,5.905,6.175,17.990000000000002,17.235,6.01,9.54,9.71,9.58,9.275,5.95284494515048,9.730999999999998
England,2055,8.485,8.755,8.825,3.535,8.535,8.715,12.405,11.215,10.530000000000001,12.595,11.90568989030096,9.3595
Brazil,2025,5.715,6.04,5.65,6.3549999999999995,1.8950000000000002,6.34,9.365,8.785,9.885,7.51,9.921408241917467,6.754
Portugal,2010,4.775,4.575,4.665,1.145,1.48,4.475,7.4399999999999995,7.835,9.565,6.7,6.8686672444044,5.2655
Germany,1965,2.86,2.87,2.395,5.405,10.84,2.59,4.1450000000000005,5.18,5.9799999999999995,6.115,7.4410561814381,4.837999999999999
Belgium,1950,2.46,2.325,2.04,6.58,1.685,2.09,3.5000000000000004,4.285,5.165,4.83,3.882290181619878,3.496
Croatia,1945,1.87,1.9300000000000002,1.575,0.8750000000000001,0.8200000000000001,1.555,2.545,2.87,3.7699999999999996,1.775,2.626255122860506,1.9585000000000001
Colombia,1915,1.18,1.085,0.89,8.15,0.06999999999999999,1.0999999999999999,1.675,1.69,1.6400000000000001,1.195,2.177870101884322,1.8675000000000002
Uruguay,1930,1.48,1.4949999999999999,1.15,3.0300000000000002,0.61,1.27,2.17,2.29,2.98,2.09,2.626255122860506,1.8565
Morocco,1900,0.905,0.835,0.8699999999999999,0.605,0.13,0.88,0.9450000000000001,1.365,1.195,1.405,2.177870101884322,0.9135000000000002
