team,title_pct,final_pct,semi_pct,elo
Spain,14.63,22.43,34.48,2165
Argentina,10.51,17.86,29.16,2120
France,8.72,15.14,25.48,2100
England,7.42,13.67,23.46,2055
Brazil,5.66,10.77,20.0,2025
Netherlands,5.51,10.26,18.97,2030
Portugal,5.37,9.99,18.29,2010
Germany,3.98,8.0,14.97,1965
Belgium,3.32,7.03,14.23,1950
Croatia,2.78,5.97,11.92,1945
Uruguay,2.71,5.7,11.87,1930
Colombia,2.57,5.44,10.75,1915
Morocco,2.09,4.75,10.57,1900
Japan,2.02,4.41,9.32,1900
Senegal,1.85,4.36,9.4,1895
Switzerland,1.6,3.42,7.96,1860
Norway,1.51,3.42,7.35,1855
Austria,1.36,2.91,6.72,1850
Türkiye,1.31,3.06,7.4,1840
Ecuador,1.22,3.13,7.32,1840
Iran,1.09,2.62,6.29,1800
Czechia,1.05,2.75,6.74,1815
Ivory Coast,1.03,2.52,6.14,1800
Sweden,1.01,2.21,5.88,1815
Mexico,1.01,2.73,6.33,1820
United States,0.89,2.57,6.58,1805
South Korea,0.88,2.32,5.59,1790
Egypt,0.77,2.04,5.66,1780
Canada,0.75,2.29,5.94,1780
Algeria,0.74,2.06,5.07,1795
Scotland,0.68,1.83,5.13,1780
Ghana,0.57,1.59,3.91,1750
Bosnia-Herzegovina,0.44,1.27,3.45,1710
Congo DR,0.43,1.2,3.04,1720
Paraguay,0.42,1.15,3.35,1720
Australia,0.35,1.28,3.72,1720
Tunisia,0.32,1.0,2.84,1700
Qatar,0.32,0.94,2.85,1680
Uzbekistan,0.23,0.72,2.05,1680
Saudi Arabia,0.18,0.63,1.76,1655
Iraq,0.15,0.47,1.42,1650
South Africa,0.15,0.57,1.8,1640
Panama,0.14,0.56,1.45,1650
Jordan,0.1,0.32,1.11,1600
Curacao,0.06,0.13,0.55,1530
New Zealand,0.06,0.19,0.56,1500
Cape Verde,0.02,0.21,0.7,1555
Haiti,0.02,0.11,0.47,1500
